date,bullish,neutral,bearish
2017-08-10,0.336667,0.34,0.323333
2017-08-17,0.341743,0.330275,0.327982
2017-08-24,0.280992,0.336088,0.38292
2017-08-31,0.25,0.351064,0.398936
2017-09-07,0.292776,0.34981,0.357414
2017-09-14,0.412879,0.367424,0.219697
2017-09-21,0.401361,0.326531,0.272109
2017-09-28,0.333333,0.37931,0.287356
2017-10-05,0.356,0.316,0.328
2017-10-12,0.397661,0.333333,0.269006
2017-10-19,0.37931,0.341379,0.27931
2017-10-26,0.396396,0.273273,0.33033
2017-11-02,0.450549,0.263736,0.285714
2017-11-09,0.451049,0.318182,0.230769
2017-11-16,0.293478,0.354348,0.352174
2017-11-23,0.35493,0.35493,0.290141
2017-11-30,0.359459,0.324324,0.316216
2017-12-07,0.368771,0.289037,0.342193
2017-12-14,0.45,0.26875,0.28125
2017-12-21,0.504975,0.238806,0.256219
2017-12-28,0.526455,0.267196,0.206349
2018-01-04,0.597531,0.246914,0.155556
2018-01-11,0.486726,0.262537,0.250737
2018-01-18,0.541133,0.244973,0.213894
2018-01-25,0.454545,0.305195,0.24026
2018-02-01,0.447712,0.264706,0.287582
2018-02-08,0.370277,0.279597,0.350126
2018-02-15,0.485194,0.300683,0.214123
2018-02-22,0.446512,0.325581,0.227907
2018-03-01,0.372832,0.393064,0.234104
2018-03-08,0.264026,0.452145,0.283828
2018-03-15,0.368421,0.418283,0.213296
2018-03-22,0.332344,0.382789,0.284866
2018-03-29,0.319361,0.327345,0.353293
2018-04-05,0.318966,0.314655,0.366379
2018-04-12,0.26087,0.311594,0.427536
2018-04-19,0.377834,0.329975,0.292191
2018-04-26,0.369085,0.375394,0.255521
2018-05-03,0.283951,0.41358,0.302469
2018-05-10,0.335106,0.409574,0.255319
2018-05-17,0.366755,0.427441,0.205805
2018-05-24,0.385621,0.362745,0.251634
2018-05-31,0.350181,0.386282,0.263538
2018-06-07,0.389313,0.343511,0.267176
2018-06-14,0.447802,0.335165,0.217033
2018-06-21,0.387187,0.350975,0.261838
2018-06-28,0.284483,0.307471,0.408046
2018-07-05,0.278552,0.328691,0.392758
2018-07-12,0.430508,0.277966,0.291525
2018-07-19,0.346633,0.40399,0.249377
2018-07-26,0.315217,0.415761,0.269022
2018-08-02,0.291105,0.38814,0.320755
2018-08-09,0.363636,0.326019,0.310345
2018-08-16,0.361702,0.347518,0.29078
2018-08-23,0.384615,0.344729,0.270655
2018-08-30,0.434959,0.321138,0.243902
2018-09-06,0.422222,0.314815,0.262963
2018-09-13,0.320896,0.350746,0.328358
2018-09-20,0.320423,0.359155,0.320423
2018-09-27,0.362205,0.326772,0.311024
2018-10-04,0.456621,0.292237,0.251142
2018-10-11,0.306061,0.339394,0.354545
2018-10-18,0.33935,0.310469,0.350181
2018-10-25,0.279693,0.310345,0.409962
2018-11-01,0.37931,0.275862,0.344828
2018-11-08,0.412844,0.275229,0.311927
2018-11-15,0.350877,0.289474,0.359649
2018-11-22,0.252525,0.276094,0.47138
2018-11-29,0.338816,0.266447,0.394737
2018-12-06,0.379433,0.315603,0.304965
2018-12-13,0.20904,0.30226,0.488701
2018-12-20,0.248649,0.278378,0.472973
2018-12-27,0.315476,0.181548,0.502976
2019-01-03,0.330189,0.242138,0.427673
2019-01-10,0.384615,0.321678,0.293706
2019-01-17,0.335347,0.302115,0.362538
2019-01-24,0.37659,0.300254,0.323155
2019-01-31,0.317568,0.364865,0.317568
2019-02-07,0.398734,0.373418,0.227848
2019-02-14,0.351032,0.39823,0.250737
2019-02-21,0.393189,0.352941,0.25387
2019-02-28,0.416327,0.383673,0.2
2019-03-07,0.37386,0.358663,0.267477
2019-03-14,0.324232,0.365188,0.31058
2019-03-21,0.373016,0.392857,0.234127
2019-03-28,0.332,0.396,0.272
