Variable,Dimensión,Media,Mediana,Std,Min,Max,Skewness,Kurtosis
hy_spread_change,Riesgo,7.092198581560448e-05,-0.02,0.33371881958179084,-1.7100000000000009,3.119999999999999,2.0670274601179144,20.883771182547445
nfci_change,Riesgo,8.049645390071782e-05,-0.0021499999999999,0.0373210935801864,-0.15938,0.2837400000000001,2.0605777466339874,17.10919407302681
fed_balance_change,Liquidez,0.002187651442990178,0.000311642503481,0.016232028583935215,-0.0592221819618611,0.2410942173993768,7.290909496933684,88.68085979446423
reverse_repo_change,Liquidez,0.0008672745694022234,0.0,40.86082204806735,-212.11099999999988,292.708,0.5814018996435526,8.084447374096694
bank_deposits_change,Liquidez,0.0011334305692609337,0.0009620541039327,0.0036146242540742806,-0.014491864624773,0.0306527989954497,1.6772125581335953,11.099724048202258
tga_change,Liquidez,0.05703569675742652,-0.0128697256627789,0.42036149884051016,-0.6843233799237611,4.231986594675107,4.310242688145231,27.977146830432343
aaii_bull_bear_spread,Sentimiento,-0.24556907396149946,-0.2849319999999999,0.13193485560936077,-0.38348,0.245334,2.8641654326052812,7.265000009418535
recession_change,Sentimiento,0.013171225937183385,0.0,7.357354007105062,-58.0,48.0,0.379374688167819,16.350007984487508
recession_ma4w,Sentimiento,28.480243161094226,23.0,19.228752393279972,3.0,95.0,0.6869769056146775,-0.3257484637591004
inflation_change,Sentimiento,-0.03546099290780142,0.0,5.9129725422364015,-54.0,46.0,-0.7526226969635142,19.607449294107955
inflation_ma4w,Sentimiento,53.81180344478217,58.5,22.842235621419604,17.0,100.0,-0.2732424828691501,-1.1864185323172864
bear_market_change,Sentimiento,-0.0070921985815602835,0.0,6.0358084903734674,-64.0,49.0,-0.5084225213662514,40.90742278048681
bear_market_ma4w,Sentimiento,17.40501519756839,18.5,7.6588590125428055,7.0,72.5,2.383517612398143,10.789985368515715
bull_market_change,Sentimiento,-0.00303951367781155,0.0,7.497057629825715,-58.0,70.0,0.3587045381694064,18.562987630678112
bull_market_ma4w,Sentimiento,38.32725430597771,39.0,13.133546067666973,13.0,85.25,0.15689188501975448,-0.3049579330983625
buy_stocks_change,Sentimiento,0.0070921985815602835,0.0,6.457298522880937,-56.0,58.0,1.0135562929497528,24.80799938927259
buy_stocks_ma4w,Sentimiento,30.84903748733536,26.25,17.250147178300697,8.0,84.0,0.7754548693788089,-0.2657381197412536
sell_stocks_change,Sentimiento,0.037487335359675786,0.0,7.147079359840189,-49.0,66.0,0.7463659647029364,19.215620021341408
sell_stocks_ma4w,Sentimiento,34.49012158054711,29.5,17.427067415002124,9.0,88.0,0.56967455822648,-0.31785107370808197
unemployment_change,Sentimiento,0.037487335359675786,0.0,4.937911968957746,-39.0,65.0,3.8836878343300314,52.43526987821084
unemployment_ma4w,Sentimiento,39.71859169199595,43.5,21.732052382437185,4.0,92.25,-0.2384051112022467,-0.8860550325031964
AGG_news_sent,ETF,0.012587845272933579,0.0,0.11955399404647261,-0.2787,0.3183749999999999,-0.1308832757903349,2.525840596920156
EEM_news_sent,ETF,0.02464425766737671,0.0170266666666666,0.10497316066988997,-0.2318888888888888,0.433125,0.8489700527099258,3.326165040838804
EFA_news_sent,ETF,0.02897263419246377,0.0208347826086956,0.08499913672266886,-0.15100625,0.2396272727272727,0.4426105183106766,-0.14453159224933687
